Input-Sample	CMC	END	LYM	SMC	MAC	RBC	ADI	P-value	Pearson-Correlation	RMSE
SRR1392593	0.022811601130598477	0.07788910320912176	0.01463429334030632	0.3268318417114115	0.06214433717560682	0	0.4956888234329551	0	0.25597280255129845	0.9965662599494154
SRR1336593	0.042864609250258735	0.11268910060749239	0.025246616733176668	0.5697850817129936	0.2126065082669643	0	0.03680808342911427	0	0.6679145628251532	0.9954549013125519
SRR1435206	0.027470936365712496	0.10483759438042982	0.027323599007107305	0.5482172987290029	0.26170242273896266	0	0.030448148778784823	0	0.6551586270734818	0.9955375450333259
SRR1440541	0.0575918213880801	0.1253616667343701	0.02176531506258772	0.6883022242870431	0.0831572529200235	0	0.02379888355108329	0	0.47725797571365924	0.9964521920428189
SRR1095985	0.00583994472677605	0.12251100863188434	0.027097456360306825	0.5984769945292708	0.23805299918729864	0	0.00802159656446325	0	0.6501791330582729	0.9954088302829825
SRR1328073	0.0256712777579391	0.11491591372498239	0.015816954884945274	0.7585848951002778	0.08501095853185545	0	0	0	0.6731591772342221	0.9944796580069735
SRR1403072	0	0.05332223283421063	0.02418368712272372	0.2466297468329777	0.26765283260929523	0	0.4082115006007927	0	0.465504483782034	0.9945250893466213
SRR1338346	0.005418139751039778	0.11436800970497123	0.017304847694084524	0.771608228200085	0.08694337818688998	0	0.004329296880512797	0	0.6090526423584738	0.9949357921362847
SRR1357323	0.049089918118143464	0.11833323716238738	0.01910544322327521	0.49271288067562696	0.05943023546253307	0	0.2613282853580339	0	0.33585529246754076	0.9970103747084584
SRR1419476	0.04113977535015647	0.10336006564367782	0.02661009695735906	0.5080579956116714	0.21793133377717	0	0.10290073265996519	0	0.60080541856238	0.9958845759141982
SRR1384754	0.029585884407335915	0.09104291441371125	0.01780321843992543	0.6709815962353205	0.1259705706862122	0	0.0646158158174947	0	0.5627484797033273	0.9956986693809723
SRR1367761	0.011237341843131141	0.06245770624302912	0.015893595101780716	0.37378633570467606	0.09733245605435802	0	0.4392925650530249	0	0.3175085284673665	0.9960616448189765
SRR1120384	0.004518106956171215	0.0967955527776642	0.023757747819123057	0.4996769542661868	0.24062212543618833	0	0.13462951274466636	0	0.5851353425730766	0.9957259235470975
SRR1089713	0.012473795981783126	0.12958613146680542	0.022797767564912752	0.6413275586032555	0.17930958860221408	0	0.014505157781029105	0	0.7154200068864368	0.9947889403123945
SRR1311622	0.029876447443689887	0.10025784015358984	0.02264475690305751	0.6225843088211437	0.17790061375342678	0	0.04673603292509229	0	0.41466146554499383	0.9970791245179496
SRR1070308	0.00904006154894251	0.07904764276256264	0.013598112033021385	0.7478606167377566	0.0888605771227175	0	0.06159298979499943	0	0.6033360349990251	0.9949583684998721
SRR1320712	0.0338468997567515	0.13220434730455446	0.010827973924259658	0.7471639239449093	0.027367283618573924	0	0.048589571450951156	0	0.4229952716843422	0.9965758176737148
SRR1419062	0.011575428948298274	0.10771911200855802	0.023052393600029114	0.547694050294939	0.20133726213575118	0	0.10862175301242444	0	0.6492654136054461	0.9953126831267212
SRR1421420	0.022970008475465223	0.07858086205495246	0.017674759301169	0.49501209569167476	0.1658544800136142	0	0.2199077944631243	0	0.46779524003163836	0.996074941374392
SRR1071856	0	0.08922493270021647	0.030133445086910297	0.43632814319114077	0.321394720097246	0	0.12291875892448632	0	0.6048281474238004	0.9956816462744006
SRR820492	0.04787913690351387	0.08634594533370236	0.019373886636068233	0.5158469220284387	0.12470016200515321	0	0.20585394709312355	0	0.41969797210452514	0.9965862926934878
SRR1382591	0.006103454576692553	0.12582824565679865	0.02498499013392811	0.5845688475462577	0.1952189783547164	0	0.06329548373160648	0	0.6481480782596449	0.9954246617836496
SRR1358060	0.021854372518699153	0.048240809730549374	0.012926818604860182	0.29212181428045664	0.08539433818176399	0	0.5394618466836707	0	0.37598124325732096	0.9944537886376213
SRR1414749	0.022241279481409054	0.08134336341765507	0.019147107070923083	0.3874823211309296	0.16432484398182862	0	0.32546108491725456	0	0.3702303662185235	0.9963265141864468
SRR1347042	0.0054630711914185675	0.05577472084071108	0.011692225496093667	0.28277817908606023	0.08756966828107551	0	0.556722135104641	0	0.3349349557305679	0.9949528594463409
SRR1308086	0.045866290683350346	0.0929757155840116	0.013433436776653864	0.5688489254738348	0.09345470814225579	0	0.1854209233398935	0	0.3808539210957777	0.9969226142365398
SRR1084626	0.02831636995381835	0.09637031617407396	0.020178973537717776	0.5926868569027259	0.17626764442063594	0	0.08617983901102794	0	0.5636687078403226	0.995926957238348
SRR1387494	0.03291436047354711	0.11024696701641419	0.01768416370937957	0.6692240190161294	0.11499374754431232	0	0.05493674224021743	0	0.6427229645289696	0.9951257916207658
SRR821846	0.023511808691569717	0.06068632813498627	0.013458783156054564	0.30401268420201005	0.09046911175371065	0	0.5078612840616687	0.01	0.19907088085563168	0.9973389882906939
SRR821388	0.04968444921578882	0.19584235146629123	0.024523841104893758	0.6540439065653728	0	0	0.0759054516476535	0	0.4674003001071225	0.9965173934830713
SRR1472370	0.015205596228460481	0.09318626613522075	0.02828574280662477	0.4981159273237573	0.31385100352037365	0	0.051355463985563135	0	0.6461671912229405	0.995584514136441
SRR1471312	0.023369589569841864	0.07930854654860378	0.0128693629906529	0.4268644009840623	0.09063228573048618	0	0.3669558141763529	0	0.3807241410047206	0.9958079108118062
SRR1351521	0.009210610386978726	0.05321223877771043	0.010526337505233904	0.29100995812207336	0.04796109691965188	0	0.5880797582883517	0	0.5960069067851131	0.9902948648958891
SRR1072948	0	0.08746903160936963	0.023650248598070654	0.5774804198917359	0.251539412301381	0	0.0598608875994427	0	0.4541038151264859	0.9967894585077169
SRR808752	0.045202459210569694	0.10698371509678822	0.01925796176076942	0.6222405388895866	0.16687568043535728	0	0.0394396446069288	0	0.6224475405697417	0.9955638143170324
SRR1091622	0.07851162313393577	0.12455775534147272	0.027916102231964064	0.6116873650924566	0.06705066166678667	0	0.09027649253338423	0	0.3316194633976408	0.9976834402346042
SRR1500030	0.029756820193217206	0.09983984504756634	0.01605413975494987	0.5085516461963595	0.08657432334424724	0	0.25922322546365983	0	0.29325267950066175	0.9973942742782161
SRR1319485	0.01262626462886747	0.07309515673649705	0.014972397100442089	0.3780608351226786	0.10066065861837227	0	0.4205846877931425	0	0.31026033354772764	0.9962929148619503
SRR1351147	0.028459936596125276	0.07978018566533986	0.01213136250800687	0.5870534340434378	0.08355181838293545	0	0.20902326280415476	0	0.5417178324488813	0.9952326100779281
SRR1415487	0.02951881668995525	0.10972319614780525	0.02434885198134539	0.6091069050976814	0.17083029064976504	0	0.05647193943344771	0	0.5981254515705148	0.9957430999455118
SRR1456075	0.02933932098976341	0.102537873317094	0.01865787626855407	0.6732025293446651	0.1762265467810932	0	0	0	0.6843606774942613	0.9948512995145713
SRR1086280	0	0.0723575093076373	0.016563520213036816	0.3388334384561199	0.12939513815264486	0	0.44285039387056113	0	0.3210656516356893	0.9960203057194584
SRR1339880	0.24252536869603014	0.04457745208291729	0.009202907988839031	0.4901583994793339	0.08357398005522293	0	0.12996189169765673	0	0.3361666638512389	0.9978135055518219
SRR1315739	0.014516124562546152	0.08977025112686915	0.025121440717647714	0.41356795181416534	0.2825776055576312	0	0.1744466262211406	0	0.3469464493219305	0.9974648189736848
SRR1453127	0.026062564924030317	0.05676108553062231	0.015611295807885004	0.2610869103249437	0.10911188144385603	0	0.5313662619686627	0	0.44236315323429454	0.993549553989772
SRR1401317	0.03934902970993967	0.119997473178075	0.026128631885579706	0.5848726118317751	0.22878723938029696	0	0.0009	0	0.7209996130556817	0.9950260609415943
SRR1327473	0.03241959034077978	0.07393191796933928	0.014110969808722172	0.7638677560400805	0.10157151243130834	0	0.014098253409769982	0	0.7076513290860901	0.9941119594577779
SRR1416617	0.04044324352036261	0.10303103462132139	0.01785773090100733	0.5666651177347145	0.1083952451170084	0	0.1636076281055857	0	0.551693233847701	0.9956515474650275
SRR1403980	0.02031613123681128	0.0745870038295756	0.018300755261550117	0.35503287060222455	0.13060897335333635	0	0.4011542657165021	0	0.3263016746309111	0.9962642743311664
SRR1098405	0.0449369786198784	0.09718110376853628	0.016128772668119875	0.4037471036531299	0.08623937674754757	0	0.35176666454278793	0	0.31851681789550945	0.9966818481007006
SRR1435330	0.008859669135767247	0.07738776051759193	0.013061533835508904	0.41934377458731176	0.11061943368591678	0	0.37072782823790335	0	0.3328289272099197	0.996341124256136
SRR1480501	0.046534686688551534	0.09439862936287251	0.024929206027758524	0.4861061681154523	0.2400687850017103	0	0.1079625248036548	0	0.5740567053185225	0.9960853878575483
SRR1456274	0.006814578111415881	0.12629186933490033	0.017770435194589474	0.7288708276145265	0.12025228974456775	0	0	0	0.668720904367826	0.9946862447216389
SRR1395857	0.022415647261451253	0.0717793461287033	0.01187796942563384	0.43173293695543	0.06575070688709415	0	0.3964433933416874	0	0.34934757500202634	0.9959231274609611
