NAME	CMC	END	LYM	SMC	MAC	RBC	ADI
AKR1C1	63.000000000000014	82.5	16.999999999999996	1539.5000000000005	37.00000000000001	373.0000000000003	27408.999999999996
AKR1C2	25.999999999999993	28.499999999999993	8.0	313.4999999999999	16.999999999999996	74.00000000000001	25836.49999999998
ALAS2	16.0	2.0	8.0	1.0	2.0	1548257.0000000016	1.0
ALDH1L1	8.0	1.0	3.0	1.0	1.0	1.0	7501.499999999996
ALS2CR12	25.00000000000001	8.999999999999998	39.999999999999986	16.0	26.999999999999993	152825.00000000003	13.999999999999996
AMOTL2	1887.9999999999993	2176.499999999999	2.0	6078.5	4.0	1.0	4389.500000000001
ANGPTL2	415.0	543.0000000000002	2.0	2235.500000000001	6.0	1.0	5897.000000000002
ANK1	134.00000000000006	31.499999999999996	200.50000000000006	37.999999999999986	12.000000000000004	107910.99999999975	51.0
ANKRD1	9183.999999999998	10247.999999999987	2.0	198.0	7.5	1.0	195.5
ANKRD36BP2	7.0	6.0	111.99999999999997	3.5	7.0	910991.0000000006	5.000000000000001
ANO9	17.999999999999996	11.500000000000004	1174.0	4.0	44.5	1.0	5.000000000000001
ANPEP	13.999999999999996	8594.5	60.00000000000001	6578.999999999997	13748.500000000004	1.0	1423.0
ANTXR1	3768.0000000000023	311.0000000000001	2.0	5456.999999999998	8.0	1.0	3815.5
AOAH	2.0	2.0	220.9999999999999	1.0	3720.4999999999995	16.999999999999996	2.0
AOC3	59.000000000000014	7.5	18.999999999999996	16.5	33.99999999999999	1.0	30065.999999999993
AOX1	11.000000000000004	20.500000000000007	2.0	777.9999999999998	5.000000000000001	16.999999999999996	4587.499999999998
APLN	28.999999999999996	5826.000000000004	1.0	74.99999999999997	5.000000000000001	1.0	143.49999999999997
APOBR	2.0	2.0	319.4999999999999	1.0	6309.999999999999	1.0	3.0
APOC1	35.0	7.5	2.0	10.5	318.9999999999998	1.0	11342.499999999993
APOE	1164.0000000000007	11.000000000000004	8.0	15.5	995.5000000000005	1.0	124801.5
AQP7	7.0	1.0	4.0	2.0	2.0	1.0	6204.5
AQP9	1.0	1.0	16.0	1.5	5872.499999999999	32.0	4.5
ARHGAP15	1.0	2.0	1759.5	1.0	741.0	1795.0000000000014	1.0
ARHGAP29	1475.0	6694.499999999998	3.0	2386.5	11.500000000000004	16.999999999999996	2977.5
ARHGEF15	13.999999999999996	1360.0	1.0	1.0	1.0	1.0	1.0
ARSJ	298.0000000000001	1316.0	2.0	2407.0000000000005	2.0	1.0	513.5
ASS1	1480.9999999999995	60.00000000000001	4.0	1359.5000000000005	5.000000000000001	1.0	19903.99999999999
ASS1P11	8.0	1.5	1.0	12.000000000000004	1.0	1.0	672.0000000000001
ATP1B2	2252.0	1.0	5.000000000000001	1.5	5.000000000000001	857.9999999999998	6.5
AXL	1775.999999999999	3200.5	8.0	14104.999999999998	48.5	1.0	2443.999999999998
AZGP1	2.0	1.0	1.0	1.0	1.0	1.0	3159.0000000000014
BACH2	1023.0000000000003	86.99999999999997	2214.999999999999	7.5	13.0	1.0	13.499999999999998
BCL11B	59.000000000000014	4.0	969.4999999999999	1.0	8.999999999999998	18.999999999999996	7.5
BCL6B	8.0	3869.0	5.000000000000001	2.0	2.0	1.0	1.0
BDKRB1	9.999999999999998	1.0	1.0	1312.4999999999998	2.0	1.0	30.000000000000004
BDKRB2	70.0	7.0	1.0	2259.999999999999	2.0	1.0	161.49999999999994
BGN	807.9999999999994	4025.4999999999973	1.0	10159.0	2.0	1.0	1966.9999999999998
BICC1	810.0000000000005	27.499999999999993	2.0	5394.5	7.0	1.0	898.5000000000005
BICDL1	56.00000000000002	3.0	1005.4999999999998	3.0	24.0	1.0	13.999999999999996
BLK	7.0	2.0	410.0000000000001	3.0	3.0	1.0	2.0
BMP5	5903.999999999999	1.0	1.0	1.0	1.0	1.0	1.0
BMP6	85.0	4255.500000000001	8.999999999999998	142.5	21.000000000000007	1.0	38.999999999999986
BMP7	1316.9999999999998	1.0	1.0	1.0	2.0	1.0	1.0
BMX	4.0	2596.499999999998	1.0	1.0	4.0	1.0	1.0
BNIP3L	3624.999999999997	2453.000000000001	1232.4999999999995	4140.5	4142.499999999997	5554015.0	11984.999999999989
BTLA	2.0	2.0	706.0000000000005	2.0	7.0	74.00000000000001	11.500000000000004
BVES	6448.000000000001	163.99999999999994	3.0	408.0000000000001	4.0	1.0	483.9999999999999
C14orf180	43.0	1.0	1.0	1.0	1.0	1.0	4612.0
C15orf48	3.0	4.0	7.0	20.000000000000004	560.9999999999999	1.0	3.0
C16orf54	3.0	2.0	1548.5	1.0	837.9999999999995	1.0	1.0
C1QA	1.0	1.0	2.0	1.0	2110.999999999999	1.0	16.0
C1QB	1.0	1.0	2.0	1.0	1349.9999999999998	1.0	3.0
C1QC	1.0	1.0	2.0	1.0	1357.0000000000005	1.0	1.0
C1QTNF1	155.0	71.00000000000001	2.0	2849.999999999998	6.0	1.0	2717.4999999999995
C1QTNF5	45.0	674.0000000000001	1.0	171.50000000000003	2.0	1.0	177.00000000000003
C3AR1	2.0	9.999999999999998	49.00000000000001	10.5	3448.499999999999	1.0	3.0
C5AR1	5.000000000000001	3.0	61.999999999999986	17.499999999999996	13941.499999999993	93.99999999999996	25.999999999999993
C7	2403.000000000001	5.000000000000001	1.0	11.500000000000004	2.0	1.0	374.0000000000002
C8orf4	44.0	698.0000000000002	1.0	461.50000000000006	2.0	1.0	5.000000000000001
CA1	3.0	2.0	2.0	1.0	2.0	152825.00000000003	1.0
CA12	42.000000000000014	41.0	2.0	3975.999999999999	15.000000000000002	1.0	2251.499999999999
CALB2	35.99999999999999	1.0	1.0	20.0	1.0	1.0	1911.5
CALD1	12234.000000000011	6591.499999999998	9.999999999999998	25537.99999999998	11.000000000000004	1.0	25427.499999999996
CAP2	4308.0	218.49999999999997	1.0	1019.4999999999998	2.0	1.0	797.4999999999998
CARD11	46.00000000000001	864.9999999999998	3963.000000000002	18.5	46.00000000000001	16.999999999999996	3.0
CARMIL2	28.999999999999996	25.00000000000001	2548.499999999999	16.5	25.00000000000001	1.0	8.999999999999998
CAV1	815.9999999999998	22489.5	13.0	12073.499999999996	5.000000000000001	1.0	29512.499999999985
CAV2	794.0000000000007	3717.000000000001	2.0	2550.0	6.0	1.0	11508.999999999996
CCDC80	6930.999999999999	956.0000000000001	20.000000000000004	27932.499999999993	50.499999999999986	1.0	44110.49999999996
CCL3	2.0	2.0	130.50000000000006	2.0	2459.5000000000005	18.999999999999996	1.0
CCR1	1.0	1.0	56.00000000000002	1.0	8144.000000000002	1.0	4.0
CCR4	1.0	3.0	248.99999999999994	3.5	4.0	16.999999999999996	1.0
CCR6	4.0	2.0	394.0	1.5	6.0	1.0	3.0
CCR7	3.0	2.0	4277.500000000001	34.0	37.99999999999999	16.999999999999996	26.999999999999993
CD14	3.0	14.5	18.999999999999996	30.999999999999996	14547.499999999993	16.999999999999996	143.50000000000006
CD163	3.0	2.0	6.0	2.0	7205.0	1.0	1.0
CD2	1.0	2.0	639.0000000000003	1.0	22.0	1.0	1.0
CD247	4.0	2.0	1514.0000000000002	1.0	15.000000000000002	16.999999999999996	1.5
CD248	584.0000000000001	2.0	16.999999999999996	4693.000000000003	5.000000000000001	1.0	9095.5
CD28	1.0	2.0	589.5	1.5	14.5	16.999999999999996	4.0
CD300C	1.0	2.0	15.000000000000002	1.0	742.4999999999998	1.0	1.0
CD300E	3.0	1.5	15.000000000000002	1.0	1977.0000000000005	1.0	1.0
CD300LB	1.0	2.0	7.0	1.0	600.4999999999999	1.0	1.0
CD300LF	1.0	2.0	9.999999999999998	1.0	1840.0000000000007	1.0	1.0
CD33	1.0	2.0	22.0	1.0	1589.9999999999986	1.0	1.0
CD34	25.00000000000001	1401.4999999999998	3.0	34.5	3.0	1.0	18.999999999999996
CD36	105.00000000000004	34.5	10.5	15.499999999999996	5720.500000000001	104607.00000000015	88598.49999999999
CD3D	1.0	2.0	360.9999999999999	1.0	4.0	16.999999999999996	1.0
CD3E	1.0	2.0	1309.5000000000005	1.0	8.0	18.999999999999996	1.0
CD3G	1.0	2.0	274.99999999999994	1.0	5.000000000000001	1.0	1.0
CD40LG	1.0	1.0	150.99999999999997	1.0	4.0	1.0	1.0
CD46P1	2.0	7.0	8.0	4.0	18.999999999999996	11866.999999999984	37.99999999999999
CD48	1.0	2.0	6294.500000000002	1.0	4325.499999999998	18.999999999999996	1.0
CD5	5.000000000000001	2.0	1294.4999999999995	2.0	41.50000000000001	16.999999999999996	1.0
CD52	2.0	2.0	6453.0	1.0	3634.999999999998	32.0	90.49999999999997
CD53	3.0	2.0	8304.500000000002	1.0	14839.499999999989	18.999999999999996	1.0
CD6	9.999999999999998	2.0	2677.0000000000005	1.0	20.000000000000004	1.0	12.000000000000004
CD68	44.0	573.4999999999998	316.49999999999994	2023.5	29346.999999999985	16.999999999999996	1357.4999999999995
CD69	2.0	94.99999999999997	3633.9999999999995	1.0	41.0	111.00000000000001	1.0
CD7	3.0	2.0	644.5	2.0	50.999999999999986	1.0	5.5
CD79A	4.0	5.000000000000001	725.4999999999999	4.5	13.999999999999996	1.0	5.000000000000001
CD79B	2.0	13.0	1111.0	1.0	39.499999999999986	1.0	1.0
CD86	1.0	2.0	116.50000000000003	1.0	1759.5	16.999999999999996	1.0
CD93	35.0	19868.999999999993	69.49999999999997	8.5	2707.0000000000014	18.999999999999996	1.0
CD96	8.0	2.0	1507.9999999999995	5.5	7.5	18.999999999999996	488.0
CDA	1.0	9.999999999999998	4.0	89.0	466.5000000000001	1.0	3.0
CDH1	115.00000000000004	2.0	19.5	3.0	8.999999999999998	29320.000000000007	9.999999999999998
CDH11	6020.999999999999	621.0000000000002	1.0	12137.0	3.0	1.0	4334.999999999998
CDH2	15678.999999999998	1134.0000000000005	3.0	12280.499999999996	8.0	1.0	976.0
CDH3	2320.0	1.0	6.0	2.0	2.0	1.0	16.0
CDH5	30.999999999999993	19838.000000000007	1.0	59.499999999999986	7.0	1.0	3.0
CDH6	130.00000000000006	12.500000000000002	1.0	1402.5	2.0	1.0	532.0000000000002
CDO1	181.00000000000003	22.000000000000007	2.0	23.000000000000004	2.0	1.0	3949.499999999998
CDR1	178.0	3.0	1.0	750.4999999999999	1.0	1.0	4299.000000000002
CDR1-AS	158.99999999999994	3.0	1.0	724.4999999999998	1.0	1.0	4274.499999999998
CEMIP	162.99999999999994	36.5	45.0	34731.5	54.00000000000002	1.0	1245.4999999999995
CEP57L1P1	35.99999999999999	33.99999999999999	13.999999999999996	25.00000000000001	16.999999999999996	27176.00000000002	67.5
CGNL1	5850.999999999996	1449.5	2.0	70.50000000000001	4.0	1.0	68.50000000000001
CHI3L1	8.0	2.0	5.000000000000001	97.0	1745.5000000000005	1.0	458.4999999999998
CHRDL1	33.0	1.0	1.0	3.0	1.0	1.0	10602.499999999989
CHRM2	2096.999999999999	1.0	1.0	671.0000000000002	1.5	1.0	5.000000000000001
CHRM3-AS2	5.000000000000001	2.0	176.00000000000003	1.0	3.0	1.0	1.0
CHST13	3.0	2.0	2.0	1.0	241.49999999999997	1.0	1.0
CIDEC	1.0	1.0	2.0	1.0	3.0	1.0	26197.999999999985
CKM	1099.9999999999998	2.0	2.0	1.5	5.000000000000001	1.0	2.0
CLDN11	25.00000000000001	2914.499999999999	4.0	5894.5	8.0	1.0	1304.0
CLDN5	2.0	906.9999999999995	3.0	2.0	1.5	1.0	1.0
CLDN6	1721.000000000001	1.5	1.0	2.5	2.0	1.0	4.0
CLEC10A	1.0	4.5	4.0	1.0	254.00000000000006	1.0	1.0
CLEC12A	2.0	2.0	16.0	1.0	1345.4999999999995	18.999999999999996	1.0
CLEC14A	1.0	5409.000000000002	1.0	54.0	1.0	1.0	1.0
CLEC4E	3.0	2.0	4.0	1.0	1080.4999999999998	1.0	1.0
CLEC5A	1.0	1.0	3.0	1.0	749.4999999999998	16.999999999999996	3.0
CLEC7A	2.0	2.0	21.000000000000007	1.0	6516.000000000002	16.999999999999996	2.0
CLMP	186.00000000000006	69.49999999999997	12.000000000000004	7450.499999999997	34.5	16.999999999999996	10530.499999999996
CLSTN2	3541.0000000000005	5.000000000000001	1.0	13.000000000000004	3.0	1.0	59.999999999999986
CNN1	2901.0	5.5	1.0	1123.9999999999995	2.0	1.0	489.9999999999999
CNTLN	425.9999999999998	446.0	23.000000000000004	358.5	437.0	94835.00000000012	356.4999999999999
COL11A1	2495.9999999999977	2.0	1.0	224.0	2.0	1.0	1975.5
COL12A1	1805.9999999999993	1133.0000000000005	2.0	38714.50000000001	3.0	32.0	12425.499999999993
COL14A1	1306.9999999999995	4.0	1.0	48.5	2.0	1.0	988.4999999999998
COL15A1	145.0	2.0	3.0	627.4999999999999	8.999999999999998	1.0	5716.499999999996
COL16A1	627.9999999999997	21.500000000000004	3.0	3260.9999999999973	3.0	1.0	3484.499999999999
COL1A1	46174.999999999985	21.000000000000007	11.500000000000004	210412.50000000023	25.00000000000001	1.0	101835.50000000013
COL1A2	23409.00000000001	519.0000000000002	3.0	420564.99999999965	8.0	1.0	196162.50000000012
COL2A1	6958.000000000002	1.0	1.0	1.5	1.0	1.0	4.0
COL3A1	54842.00000000006	163.49999999999997	1.0	185266.0000000001	4.0	1.0	288228.4999999998
COL4A1	14443.999999999984	18074.499999999993	1.0	14950.000000000004	10.5	1.0	77585.0
COL4A2	14256.999999999987	18141.999999999996	2.0	13069.000000000004	34.5	1.0	50699.00000000003
COL4A5	7785.0	1109.5	2.0	956.5	2.0	1.0	910.9999999999998
COL4A6	4740.000000000001	135.99999999999997	2.0	57.99999999999999	2.0	1.0	310.5
COL5A1	14401.000000000018	6614.000000000002	16.0	21467.499999999996	7.0	1.0	28437.49999999998
COL5A2	10042.000000000002	5373.999999999998	25.999999999999993	28751.499999999993	10.5	1.0	46658.000000000015
COL5A3	16.0	3.0	16.999999999999996	416.9999999999998	13.999999999999996	1.0	17551.999999999993
COL6A1	5142.000000000001	536.5000000000002	37.00000000000001	47616.999999999985	114.0	1.0	56278.5
COL6A3	2784.000000000001	11.0	59.000000000000014	115288.50000000003	21.000000000000007	1.0	45564.50000000001
COL8A1	802.9999999999998	4878.0	1.0	4473.999999999998	3.0	1.0	6506.999999999998
CPA4	161.99999999999994	8.0	1.0	1408.499999999999	2.0	1.0	288.4999999999999
CPVL	665.0000000000002	8.0	20.000000000000004	1.0	2241.4999999999995	1553.0000000000002	14.5
CR1L	1.0	2.0	8.0	1.0	38.999999999999986	69413.00000000001	1.0
CR2	2.0	1.0	148.00000000000003	1.0	2.0	16.999999999999996	1.0
CREB3L1	770.9999999999994	22.500000000000004	2.0	2717.500000000001	4.0	1.0	641.5
CRYAB	1833.0000000000007	4.0	1.0	268.9999999999999	2.0	1.0	2284.0
CSDAP1	102.99999999999994	258.0	34.5	71.0	108.00000000000004	68189.00000000006	299.0000000000001
CSF1R	11.000000000000004	5.000000000000001	60.500000000000014	12.000000000000004	9943.500000000004	1.0	12.500000000000002
CSF2RA	44.0	2.0	16.999999999999996	1.0	2774.0	1.0	251.49999999999994
CSF3R	56.00000000000002	2.0	38.999999999999986	1.0	8095.000000000002	1.0	3.5
CSRP3	5831.000000000001	1.0	1.0	1.0	1.0	1.0	1.0
CSTA	1.0	1.0	6.0	26.0	1659.500000000001	16.999999999999996	95.5
CTA-363E6.6	1.0	1.0	1.0	1.0	1.0	113184.0000000001	1.0
CTA-373H7.7	17.999999999999996	2.0	474.4999999999999	9.999999999999998	9.999999999999998	1.0	8.999999999999998
CTB-113P19.1	265.9999999999999	168.5	2.0	1848.0	15.000000000000002	1.0	3570.999999999999
CTB-133G6.1	4.0	2.0	566.4999999999998	2.0	37.99999999999999	1.0	3.0
CTB-186G2.1	2.0	2.0	215.00000000000003	1.0	11.000000000000004	1.0	2.0
CTD-2033D15.1	283.99999999999983	4495.000000000002	3.0	6148.0	30.999999999999993	1.0	1221.499999999999
CTD-2033D15.3	264.00000000000017	3946.499999999999	3.0	6811.499999999997	21.0	1.0	974.4999999999993
CTD-2201G16.1	667.0	1.0	1.0	1.0	1.0	1.0	1.0
CTD-2545M3.8	6161.0000000000055	3.0	15.000000000000002	2.0	31.499999999999996	1.0	3.0
CTD-3187F8.14	1.0	1.0	4.0	1.0	418.4999999999997	1.0	1.0
CTGF	4402.000000000003	19299.500000000007	4.0	15692.500000000004	3.0	1.0	3959.999999999999
CTNNA3	2100.0	1.0	2.0	1.0	1.0	1.0	6.0
CXCL12	4718.0	14.5	1.0	2877.0	17.999999999999996	1.0	1509.4999999999993
CXCR3	1.0	2.0	298.99999999999994	1.0	6.0	1.0	1.0
CXorf36	2.0	1327.5	2.0	1.0	1.0	1.0	1.0
CYBB	12.000000000000004	2.0	519.5000000000005	1.0	24753.999999999985	3992.9999999999977	1.0
CYP27A1	183.99999999999991	147.5	8.0	181.99999999999997	4760.499999999998	1.0	204.0
CYR61	2332.000000000001	9500.499999999996	2.0	19305.5	4.0	1.0	1035.9999999999998
CYTIP	3.0	2.0	4762.0	1.0	2623.9999999999995	48.0	3.0
CYYR1	332.00000000000017	517.0000000000001	2.0	1.0	3.0	16.999999999999996	4.0
DCAF12	1281.9999999999989	1201.5	544.5	993.5	1399.4999999999995	1031326.0000000003	1765.0
DCN	524.0	13.0	1.0	21393.499999999985	3.0	1.0	10857.5
DDAH1	1647.0	1883.5000000000002	4.0	4203.0	8.0	1.0	2001.499999999999
DDR2	1281.9999999999989	1747.4999999999995	27.999999999999993	14423.500000000002	9.999999999999998	1.0	12393.499999999993
DENND1C	63.000000000000014	2.0	2559.0	1.5	1274.499999999999	1.0	2.0
DKK1	257.0000000000001	898.0	1.0	1314.5000000000005	2.0	1.0	124.5
DKK3	3128.000000000002	3379.0000000000005	6.0	12500.500000000004	3.5	1.0	2570.0
DLEU2_1	5.000000000000001	9.999999999999998	11.000000000000004	5.000000000000001	16.0	16320.999999999989	5.000000000000001
DLK1	810.0000000000005	2.0	1.0	1.0	2.0	1.0	3.0
