InputSample	CMC	END	LYM	SMC	MAC	RBC	ADI	P-value	PearsonCorrelation	RMSE
GTEX-14JIY-0626-SM-62LF9.1	0.12109854709997928	0.13702501679156112	0	0.6757909890364362	0.0031355678448525583	0	0.0629498792271709	0.05	0.08021515622341893	0.998417974354155
GTEX-14PN3-0426-SM-6LLIY.1	0.01840374956860768	0.07552501051191503	0	0.3575331419569908	0.0001	0	0.5484302142129578	0	0.5014379951280648	0.9872903784236043
GTEX-1AX9K-0326-SM-7DHM9.1	0.0627435357871776	0.15562150765120492	0	0.7385813789897432	0	0	0.04305357757187433	0	0.8500596610796898	0.9856100286068775
GTEX-1C64O-1126-SM-7IGMY.1	0.06029669806018822	0.1483848089145131	0	0.7072947751680496	0	0	0.08402371785724909	0	0.653466732830779	0.9889635227623144
GTEX-1CB4E-0726-SM-7EWEY.1	0.05538536485079209	0.11251246795003925	0	0.5461303323349378	0	0	0.2859718348642309	0	0.3695825986199544	0.9930151727297298
GTEX-1H11D-1426-SM-9MQKY.1	0.06539876278181819	0.11060100219090169	0	0.6749772449348735	0	0	0.1490229900924066	0	0.7520049207539506	0.9869999742823379
GTEX-1KXAM-1526-SM-D4P3Y.1	0.043061958585820743	0.12141819205783794	0	0.7043384137460805	0	0	0.1311814356102608	0	0.7980540370259412	0.9860503580583962
GTEX-131YS-1226-SM-5K7VE.1	0.04556800242653952	0.12757535940919967	0	0.7091633052536199	0.050141532774418136	0	0.06755180013622275	0	0.7916946526115017	0.9868989915127315
GTEX-WYJK-0926-SM-4ONCF.1	0.056772622591380516	0.13379836601642475	0	0.7995992646991313	0	0	0.00982974669306346	0	0.7753157319794791	0.9861503805196083
GTEX-YJ8O-0126-SM-5QGRG.1	0.05264545181761633	0.13168197472983895	0	0.776887454162034	0	0	0.038785119290510706	0	0.678680743211849	0.9879954874960745
GTEX-ZAB5-2726-SM-5J2NH.1	0.2669651895814929	0.07750369708249516	0	0.6411679402550603	0	0	0.014363173080951678	0.22	0.0279874187631416	0.9992467375811355
GTEX-YEC4-0426-SM-4W1ZH.1	0.041408036134696485	0.1532223356692543	0	0.756182929981612	0.008150946153333522	0	0.04103575206110371	0	0.806016483745235	0.9860986853059466
GTEX-ZYFG-0126-SM-5GIDH.1	0.04506084528120686	0.09891123238016683	0	0.456867282367839	0.003223429706692264	0	0.39593721026409495	0	0.4309788869687835	0.9909286860608254
GTEX-ZAB4-0726-SM-5HL8I.1	0.0668730457509856	0.12884975411979063	0	0.6472714259551331	0	0	0.15700577417409078	0	0.5139666406403925	0.9911965576012298
GTEX-YEC3-0326-SM-5IFJJ.1	0.034944644676129025	0.1370267870671167	0	0.6440851252574249	0.012182713727934712	0	0.1717607292713947	0	0.3636869257313336	0.993597355178526
GTEX-13FTW-0926-SM-5J2NJ.1	0.05057666630793504	0.12975138779356918	0	0.6297559338845037	0.0054106773480254835	0	0.18450533466596664	0	0.748030587880221	0.9871176021242009
GTEX-14C38-1226-SM-5S2UK.1	0.04806835067617403	0.1595117336895814	0	0.7785531071283315	0.01076841418905263	0	0.00306965161261703	0	0.7694065751410688	0.9866054323883234
GTEX-QEL4-1026-SM-4R1JK.1	0.05093536243459163	0.11964292358310932	0	0.5722985246825979	0	0	0.2571231892997012	0	0.6316885644352701	0.9885266086213698
GTEX-ZGAY-0426-SM-4WWAM.1	0.05975425588757623	0.10459753613004384	0	0.613936267415456	0.009785966946208443	0	0.21192597362071558	0	0.738221659688091	0.9870185385871074
GTEX-13CF3-0626-SM-5J1NO.1	0.04892838649778337	0.13466168575553283	0	0.6647668855425974	0	0	0.15164304220408634	0	0.7353380513357552	0.9873756045144475
GTEX-11ZTS-1026-SM-5LU8O.1	0.05216689711292826	0.1323389153873898	0	0.7781584655904343	0	0	0.03733572190924766	0	0.4981749196550557	0.9911108561354174
GTEX-QV44-0726-SM-4R1KP.1	0.1452291225265279	0.14712678634247886	0	0.6535451126301212	0	0	0.054098978500872044	0	0.46462252274873866	0.9927028306219543
GTEX-11DXX-0826-SM-5GZZP.1	0.0498144953166124	0.115878502901844	0	0.5408400526886405	0.0005	0	0.29294457285382736	0	0.6250864479027536	0.9883025851026931
GTEX-S4Z8-0926-SM-4AD6Q.1	0.0453632217364701	0.11302599277562857	0	0.6598861386057312	0	0	0.1817246468821701	0	0.7659074461174687	0.9864583619017707
GTEX-XPT6-0426-SM-4B672.1	0.04837108052807016	0.14930931878242734	0	0.7190772169205654	0.0066077626472308484	0	0.07663462112170641	0	0.7866382944500426	0.9866780213246404
GTEX-QMRM-0426-SM-4R1K2.1	0.044866205075791324	0.10280034260112383	0	0.5527460386904839	0.003945612219547656	0	0.2956418014130533	0	0.60178285318463	0.9885815640690192
GTEX-1117F-0626-SM-5N9CS.1	0.0534539636473638	0.15069491379589778	0	0.7075192017078927	0	0	0.08833192084884565	0	0.3826196526069608	0.9933891079837569
GTEX-12WSC-0926-SM-5EQ63.1	0.07960669286356398	0.15212309314538397	0	0.739394321419773	0	0	0.028875892571279028	0	0.4540246374411295	0.9922349017434949
GTEX-WHWD-0226-SM-4OORT.1	0.06863498866204207	0.13508016654772023	0	0.7879794111285437	0	0	0.008305433661693935	0	0.8186764407895532	0.9855790373149246
GTEX-RN64-0726-SM-48FCV.1	0.055483598118609305	0.14591350676880663	0	0.7986028951125841	0	0	0	0	0.746089890724716	0.9867176085287926
GTEX-XGQ4-0626-SM-4AT56.1	0.0490946326630731	0.1326287093485555	0	0.5705436975595661	0	0	0.24773296042880527	0	0.515475267816022	0.9907299626135039
GTEX-QLQ7-0326-SM-4R1JV.1	0.03150568892458004	0.1483237641376865	0.0009	0.7088134834152529	0.01023933463587967	0	0.10017437354286512	0	0.8145056699517927	0.9861162718408047
GTEX-11DYG-0926-SM-5EGGW.1	0.06060959776446631	0.12389833685125759	0	0.7030129985406716	0	0	0.1124790668436046	0	0.484342862745584	0.9915864409059064
GTEX-131XF-0526-SM-5HL87.1	0.02226436559498416	0.13733340328014393	0	0.7170266271382676	0.02294339245625372	0	0.10043221153035063	0	0.4686990879107027	0.9918304549589437
GTEX-U4B1-0226-SM-4DXU8.1	0.037731845264642794	0.14100870453120734	0	0.7094871597877528	0.012279440288337417	0	0.09949285012805976	0	0.803054929954977	0.9863093905710187
GTEX-1399R-1826-SM-5J2M9.1	0.0757062620409505	0.09568153089560413	0	0.5809816043513812	0.0019838015907952633	0	0.24564680112126897	0	0.6577745308377815	0.9881832785599042
GTEX-1399U-0626-SM-5J1NZ.1	0.02525507448847578	0.08729002096737863	0	0.3824111676482407	0.002102197947825271	0	0.5029415389480797	0	0.5194366689788489	0.9875807260960143
GTEX-RU72-0226-SM-46MUD.1	0.06876250418980136	0.1514716314876605	0	0.743523224265082	0	0	0.036242640057456234	0	0.7692820730624292	0.9869305458155022
GTEX-U3ZH-0426-SM-4DXSE.1	0.05445227392427813	0.16188054486110445	0	0.7774800925408674	0.004794507333108426	0	0.0013925813406416541	0	0.8538489119336542	0.9851759641680214
