NAME	CMC	END	LYM	SMC	MAC	RBC	ADI
ADGRL3	884.0000000000001	1.0	1.0	2.5	2.0	1.0	28.499999999999993
ADGRL4	13.0	4513.000000000003	1.0	1084.5	2.0	1.0	111.5
ADH1A	8.999999999999998	1.0	2.0	4.0	1.0	1.0	658.5
ADH1B	5.000000000000001	1.0	1.0	15.000000000000002	1.0	1.0	39738.99999999998
ADH1C	1.0	1.0	1.0	5.000000000000001	1.0	1.0	618.0
ADIPOQ	1.0	1.0	1.0	1.0	1.0	1.0	159319.50000000006
ADIPOQ-AS1	1.0	1.0	1.0	1.0	1.0	1.0	78604.49999999999
AGT	291.00000000000017	1.0	1.0	6.0	1.0	1.0	1442.0000000000005
AHSP	1.0	2.0	1.0	1.0	1.0	12199.000000000004	1.0
AIF1	3.0	2.0	177.0	1.0	9538.500000000002	8.999999999999998	1.0
AKAP7	111.99999999999997	71.5	176.0	63.50000000000001	158.49999999999994	82464.00000000006	216.49999999999994
AKR1C1	52.000000000000014	66.00000000000001	16.999999999999996	1541.4999999999995	43.5	195.9999999999999	30782.499999999985
AKR1C2	23.000000000000004	25.5	7.0	322.50000000000006	18.999999999999996	43.0	28850.999999999985
ALAS2	11.000000000000004	2.0	7.0	1.0	2.0	781122.0	1.0
ALDH1L1	8.0	1.0	3.0	1.0	1.0	1.0	7911.499999999999
ALS2CR12	17.999999999999996	8.0	38.999999999999986	16.5	28.999999999999996	87236.99999999985	15.5
AMOTL2	1694.9999999999993	1848.4999999999998	2.0	6386.000000000002	5.000000000000001	1.0	4757.999999999998
ANGPTL2	234.00000000000003	458.4999999999999	2.0	2416.0000000000005	6.0	1.0	6246.000000000003
ANK1	95.0	25.999999999999993	197.49999999999994	40.49999999999999	13.0	57046.00000000001	56.000000000000014
ANKRD1	5680.999999999998	8201.499999999996	2.0	211.0	8.0	1.0	215.49999999999991
ANKRD36BP2	7.0	5.000000000000001	114.00000000000004	3.0	7.0	479905.99999999977	5.000000000000001
ANO9	33.0	8.999999999999998	1186.9999999999993	4.0	47.5	1.0	6.0
ANPEP	8.999999999999998	7717.499999999996	57.00000000000002	6221.5	14624.0	1.0	1385.4999999999995
ANTXR1	2837.0000000000005	271.50000000000006	2.0	6031.0	8.999999999999998	1.0	4093.5
AOAH	2.0	2.0	213.49999999999997	1.0	3820.999999999998	8.999999999999998	1.5
AOC3	54.00000000000002	6.0	20.000000000000004	16.0	37.5	1.0	34124.49999999999
AOX1	9.999999999999998	18.499999999999996	2.0	772.0000000000002	5.000000000000001	8.999999999999998	5143.5
APLN	21.000000000000007	5067.999999999998	1.5	71.5	5.000000000000001	1.0	169.0
APOBR	3.0	2.0	317.4999999999999	1.0	7016.500000000001	1.0	3.0
APOC1	37.99999999999999	7.0	2.0	9.999999999999998	396.4999999999999	1.0	12002.5
APOE	927.9999999999993	8.999999999999998	8.0	16.0	1339.9999999999995	1.0	146598.99999999994
AQP7	5.000000000000001	1.0	4.0	2.0	2.0	1.0	6713.0
AQP9	1.0	1.0	16.0	1.0	6168.500000000002	16.999999999999996	4.5
ARHGAP15	1.0	2.0	1702.4999999999995	1.0	781.0	930.0000000000005	1.0
ARHGAP29	1383.0000000000005	5750.999999999999	3.0	2448.999999999998	12.500000000000002	8.999999999999998	3225.5
ARHGEF15	7.0	1271.9999999999993	1.0	1.0	1.0	1.0	1.0
ARSJ	222.00000000000003	1183.5	2.0	2492.9999999999995	2.0	1.0	590.4999999999998
ASS1	1203.9999999999995	50.999999999999986	4.0	1382.4999999999995	6.0	1.0	22982.500000000004
ASS1P11	8.999999999999998	1.0	1.0	12.000000000000004	1.0	1.0	776.4999999999998
AXL	1423.0	2949.499999999999	8.0	14587.499999999996	52.999999999999986	1.0	2711.999999999999
AZGP1	2.0	1.0	1.0	1.0	1.0	1.0	3429.000000000001
BACH2	773.0000000000005	65.5	2106.9999999999986	8.5	15.000000000000002	1.0	13.999999999999996
BCAM	1149.9999999999998	331.9999999999998	1.0	254.5000000000001	8.999999999999998	480.99999999999994	117.5
BCL11B	47.00000000000001	3.5	957.4999999999998	1.0	8.999999999999998	11.000000000000004	8.0
BCL6B	7.0	3666.4999999999986	5.000000000000001	2.0	2.0	1.0	1.0
BDKRB1	8.999999999999998	1.0	1.0	1288.5	2.0	1.0	35.0
BDKRB2	64.0	6.0	1.0	2456.0	2.0	1.0	188.50000000000003
BGN	293.99999999999983	3545.0	1.0	10517.499999999996	2.0	1.0	1981.9999999999986
BICC1	561.0000000000002	27.999999999999993	2.0	5467.500000000002	7.0	1.0	1088.5000000000005
BICDL1	93.99999999999996	2.0	1018.9999999999999	3.0	29.5	1.0	16.0
BLK	6.0	2.0	403.5000000000001	3.0	4.0	1.0	2.0
BMP5	3998.9999999999986	1.0	1.0	1.0	1.0	1.0	1.0
BMP6	55.000000000000014	3801.0000000000005	9.999999999999998	144.5	21.000000000000007	1.0	42.50000000000001
BMP7	1048.0	1.0	1.0	1.0	2.0	1.0	1.0
BMX	3.0	2259.9999999999995	1.0	1.0	5.000000000000001	1.0	1.0
BNIP3L	2767.999999999998	2268.0	1205.4999999999993	4092.0000000000014	4426.999999999999	3170669.0000000005	13478.5
BTLA	2.0	1.5	699.5	2.0	8.0	43.0	13.0
BVES	3562.999999999999	150.5	2.0	404.4999999999999	4.0	1.0	580.5
C14orf180	15.000000000000002	1.0	1.0	1.0	1.0	1.0	5130.500000000004
C15orf48	3.0	3.0	7.0	18.499999999999996	640.5	1.0	3.0
C16orf54	2.0	2.0	1527.4999999999995	1.0	880.9999999999995	1.0	1.0
C1QA	1.0	1.0	2.0	1.0	2398.5	1.0	20.000000000000004
C1QB	1.0	1.0	2.0	1.0	1643.9999999999995	1.0	3.0
C1QC	1.0	1.0	1.0	1.0	1614.4999999999998	1.0	1.0
C1QTNF1	126.00000000000003	63.000000000000014	2.0	2556.999999999999	6.0	1.0	3052.5
C1QTNF5	21.000000000000007	629.9999999999999	1.0	170.5	2.0	1.0	189.00000000000003
C3AR1	2.0	9.999999999999998	46.00000000000001	10.5	3698.9999999999973	1.0	3.0
C5AR1	6.0	2.0	61.999999999999986	18.499999999999996	14971.000000000007	49.999999999999986	29.0
C8orf4	25.00000000000001	654.5	1.0	465.00000000000045	2.0	1.0	5.000000000000001
CA1	2.0	2.0	2.0	1.0	2.0	86003.99999999993	1.0
CA12	42.000000000000014	37.499999999999986	2.0	3713.499999999999	16.5	1.0	2495.999999999998
CACNA1G	429.0000000000004	2.0	1.0	6.0	9.999999999999998	1.0	6.0
CADPS	907.0000000000001	1.0	2.0	2.0	1.5	1.0	19.0
CALB2	33.0	1.0	1.0	18.500000000000004	1.0	1.0	2057.500000000001
CALCRL	75.99999999999999	4159.0	13.999999999999996	86.49999999999999	38.499999999999986	1.0	2134.499999999999
CALD1	6623.999999999995	5687.999999999998	11.000000000000004	29010.999999999993	13.0	1.0	26676.50000000002
CAP2	2171.0000000000005	190.50000000000006	1.0	1049.9999999999998	2.0	1.0	855.4999999999998
CARD11	30.000000000000004	833.4999999999995	3920.000000000001	19.5	48.5	8.999999999999998	4.0
CARMIL2	33.99999999999999	22.0	2502.0	17.999999999999996	26.999999999999993	1.0	9.999999999999998
CAV1	601.0000000000003	19138.49999999999	12.000000000000004	12595.000000000005	5.5	1.0	33559.5
CAV2	627.9999999999997	3593.4999999999995	2.0	2729.0000000000005	7.0	1.0	13683.499999999993
CCDC80	3188.0000000000005	801.0000000000002	19.5	27850.499999999996	55.500000000000014	1.0	48807.99999999997
CCL3	2.0	2.0	126.99999999999997	1.0	2790.000000000002	11.000000000000004	1.0
CCR1	1.0	1.0	56.50000000000002	1.0	8937.0	1.0	5.000000000000001
CCR4	2.0	3.0	256.0	4.0	4.0	8.999999999999998	2.0
CCR6	4.0	2.0	382.5000000000001	1.0	6.0	1.0	3.0
CCR7	3.0	2.0	4276.000000000002	33.0	39.499999999999986	8.999999999999998	30.000000000000004
CD14	3.0	13.0	17.999999999999996	35.99999999999999	16247.500000000002	8.999999999999998	149.99999999999997
CD163	3.0	2.0	5.000000000000001	2.0	7896.499999999996	1.0	1.0
CD2	1.0	2.0	649.5000000000002	1.0	25.00000000000001	1.0	1.0
CD247	4.0	2.0	1482.4999999999993	1.0	16.5	8.999999999999998	1.5
CD248	277.0000000000001	2.0	16.999999999999996	4858.5	5.000000000000001	1.0	9882.99999999999
CD28	2.0	2.0	645.5	1.5	15.5	8.999999999999998	4.0
CD300C	2.0	2.0	15.000000000000002	1.0	785.9999999999999	1.0	1.0
CD300E	2.0	2.0	16.0	1.0	2136.999999999998	1.0	1.0
CD300LB	1.0	1.0	7.0	1.0	641.4999999999998	1.0	1.0
CD300LF	1.0	2.0	9.999999999999998	1.0	2053.499999999999	1.0	1.0
CD33	2.0	2.0	21.500000000000004	1.0	1671.0000000000002	1.0	1.0
CD34	16.0	1200.9999999999995	4.0	35.99999999999999	3.0	1.0	20.0
CD36	64.0	25.5	11.000000000000004	16.0	6234.499999999998	55518.99999999996	90402.49999999997
CD3D	1.0	1.5	373.9999999999998	1.0	4.0	8.999999999999998	1.0
CD3E	1.0	2.0	1339.4999999999993	1.0	8.999999999999998	11.000000000000004	1.0
CD3G	2.0	1.0	266.0000000000001	1.0	5.000000000000001	1.0	1.0
CD40LG	2.0	1.0	155.0	1.0	4.0	1.0	1.0
CD46P1	2.0	6.0	7.5	4.0	21.000000000000007	6324.999999999995	41.50000000000001
CD48	1.0	2.0	6157.0	1.0	4666.5	11.000000000000004	1.0
CD5	3.0	2.0	1396.9999999999989	2.0	44.0	8.999999999999998	1.0
CD52	2.0	2.0	6474.5	1.0	3684.9999999999995	16.999999999999996	97.0
CD53	2.0	2.0	7934.999999999998	1.0	15783.000000000004	11.000000000000004	1.0
CD6	8.0	2.0	2710.499999999999	1.0	25.00000000000001	1.0	14.5
CD68	39.999999999999986	487.5000000000002	307.9999999999999	1990.5	32224.00000000003	8.999999999999998	1559.4999999999995
CD69	2.0	83.49999999999999	3782.999999999999	1.0	45.5	64.0	1.0
CD7	3.0	2.0	622.5	2.0	57.50000000000001	1.0	6.0
CD79A	3.0	4.0	710.0000000000002	5.000000000000001	15.000000000000002	1.0	6.0
CD79B	2.0	12.000000000000004	1130.4999999999998	1.0	42.0	1.0	1.0
CD86	1.0	2.0	117.50000000000003	1.0	1847.5000000000005	8.999999999999998	1.0
CD93	20.000000000000004	17064.0	70.5	7.5	3085.499999999999	11.000000000000004	1.0
