InputSample	CMC	END	LYM	SMC	MAC	RBC	ADI	P-value	PearsonCorrelation	RMSE
GTEX-11DXX-0826-SM-5GZZP.1	0.07674188287658279	0.0942685632229739	0	0.4001051210620258	0.0005	0	0.4283931570987244	0	0.5040144600370872	0.994511290200218
GTEX-S4Z8-0926-SM-4AD6Q.1	0.08184351778866156	0.11552487441620707	0	0.5371053844147169	0	0	0.2655262233804145	0	0.6904788698991629	0.9935699564431882
GTEX-XPT6-0426-SM-4B672.1	0.0926626485883802	0.13588591639387954	0	0.5505834533668329	0	0	0.22086798165090743	0	0.6896282236763004	0.9938561788598871
GTEX-QMRM-0426-SM-4R1K2.1	0.07171056501766788	0.08139856786322558	0	0.3988158877424364	0	0	0.4480749793766701	0	0.47099524960874123	0.994700907074855
GTEX-1117F-0626-SM-5N9CS.1	0.08924119781111621	0.1180807804357136	0	0.5327189761186517	0	0	0.25995904563451855	0.02	0.3276418046812485	0.9967604047997027
GTEX-12WSC-0926-SM-5EQ63.1	0.13343752199288575	0.13940197998959386	0	0.614489166474861	0	0	0.11267133154265935	0	0.4269410059121535	0.9961991869580903
GTEX-WHWD-0226-SM-4OORT.1	0.13456325649965123	0.13190848980525927	0	0.6877801427975682	0	0	0.04574811089752143	0	0.8106983508660242	0.9928858381148299
GTEX-RN64-0726-SM-48FCV.1	0.11132600851150735	0.1623535255138565	0	0.7202492630961256	0	0	0.006071202878510657	0	0.7442617512203064	0.9933098455841105
GTEX-XGQ4-0626-SM-4AT56.1	0.10081210988903869	0.11287089048869024	0	0.4612633737962545	0	0	0.32505362582601666	0	0.45955516603800994	0.9954813329421335
GTEX-QLQ7-0326-SM-4R1JV.1	0.0658339086485133	0.12380282443371818	0	0.5311555574051283	0.002375439865786223	0	0.27683226964685403	0	0.7066721422859182	0.9933723681717578
GTEX-11DYG-0926-SM-5EGGW.1	0.09177905815662007	0.12930154415080902	0	0.5114958254543284	0	0	0.26742357223824254	0	0.4217282660690925	0.9959842773778066
GTEX-131XF-0526-SM-5HL87.1	0.06695097113654129	0.12126794003967983	0	0.5712337755685137	0.011064605175802414	0	0.22948270807946272	0	0.4144084472294917	0.9960403101351124
GTEX-U4B1-0226-SM-4DXU8.1	0.08150837427359582	0.11536994124493295	0	0.5329950647952199	0.0033889602846928248	0	0.2667376594015585	0	0.6740128411224025	0.9937283569077181
GTEX-1399R-1826-SM-5J2M9.1	0.11832983227963162	0.08502673949172909	0	0.4536343546462525	0	0	0.34300907358238686	0	0.5753957694532742	0.9943242530702527
